area,name,tel,address,hp,type,hours,closed_days,comment,other,map,source_association,website
aichi,カトウノブヒトダンスアカデミー,052-654-3661,〒454-0852 愛知県名古屋市中川区昭和橋通り1-27　昭和橋ビル2F駐車場あり,http://katonobuhitodance.web.fc2.com/index.html,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://katonobuhitodance.web.fc2.com/index.html
aichi,ニシダ ダンススタジオ,052-739-6151,〒465-0025　愛知県名古屋市名東区上社1-908　エプタ上社　2F駐車場あり,http://nishida-dance.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://nishida-dance.com/
aichi,中川雄太ダンスアカデミー,052-753-7952,〒464-0850 愛知県名古屋市千種区今池5-3-2 リアライズ今池駅前ビル4F,https://naka-yuta-dance.main.jp/index.html,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://naka-yuta-dance.main.jp/index.html
aichi,小宮ダンススタジオ,052-763-2663,〒464-0827　愛知県名古屋市千種区田代本通2-1X-OVER21　2F　小宮ダンススタジオ,https://komiya-dance.com/,社交ダンス教室,,,,可,,Let's dance,https://komiya-dance.com/
tokyo,ASダンススタジオ,03-6455-3395,〒150-0021 東京都渋谷区恵比寿西2-1-10 プライムホリグチビル7階,http://asdancestudio.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://asdancestudio.com/
aichi,小西雅司ダンススタジオ瑞穂校,052-837-7326,〒467-0027 愛知県名古屋市瑞穂区田辺通6-6 ローズウッド瑞穂2F,https://www.m-konishi.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://www.m-konishi.com/
aichi,ミツイダンススクール,052-412-9600,〒453-0054　愛知県名古屋市中村区鳥居西通 1-48 豊国ビル3F,http://mitsuids.web.fc2.com/index.html,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://mitsuids.web.fc2.com/index.html
aichi,Studio TANI-NI,052-808-7288,〒468-0011 愛知県名古屋市天白区平針2丁目1111 A2ビル1Ｆ,https://punilyuchan35.wixsite.com/tani-dancestudio,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://punilyuchan35.wixsite.com/tani-dancestudio
kanagawa,ダンススタジオプリズム,045-504-5930,〒230-0051 神奈川県横浜市鶴見区鶴見中央4-35-21ニックハイム鶴見中央通り201,http://dancestudio-prism.com,社交ダンス教室,9:00～21:00,木曜日,,,,シャルだん,http://dancestudio-prism.com
aichi,イトウダンスアカデミーＤａｎｃｅ・ｗｉｔｈ・Ｍｅ,052-522-0239,〒451-0016　愛知県名古屋市西区庄内通4-30-2　ナニワビル１F,http://itodance.web.fc2.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://itodance.web.fc2.com/
tokyo,クワバラダンススクール(多摩教室),042-372-0788,〒206-0033 東京都多摩市落合1-9-9 多摩ｸﾚｲﾄﾞｩﾙ7F,http://kuwabaradance.com/index.html,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://kuwabaradance.com/index.html
aichi,フリースタジオ88,080-2045-9978,〒457-0012 愛知県名古屋市南区菊住2-18-7　新郊ビル2F,https://ameblo.jp/dance88-2020/entry-12635930758.html?frm_src=thumb_module,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://ameblo.jp/dance88-2020/entry-12635930758.html?frm_src=thumb_module
osaka,ダンスカンパニーオノエ＜ダンススポット シャングリ・ラ＞,06-6942-5672,〒540-0012 大阪府大阪市中央区谷町1丁目２－６ ストライプビル4Fストライプビル,http://www.dsonoe.com/,社交ダンス教室/練習場・ホール,月曜～土曜(11:00~21:00),日曜日,,,,シャルだん,http://www.dsonoe.com/
aichi,錦ダンススクール,052-951-0403,〒460-0003　愛知県名古屋市中区錦3-22-1 ナガタビル4F,http://adsu.info/kojin/nishiki/index.htm,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://adsu.info/kojin/nishiki/index.htm
tokyo,駒沢ダンスガーデン,03-3419-9877,〒154-0011 東京都世田谷区上馬3-7-8 トーヨービル7F,https://www.ks-co.co.jp/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://www.ks-co.co.jp/
aichi,小西雅司ダンススタジオ豊国通り校,052-837-7326,〒453-0834　愛知県名古屋市中村区豊国通2-4　天寿ビル3F,https://www.m-konishi.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://www.m-konishi.com/
fukuoka,ダンススクールライジングスター,092-524-4041,〒810-0005 福岡県福岡市中央区清川一丁目3-1グッドタイムホーム4南天神2F,http://www.risingstar.jp/,社交ダンス教室,月曜日～土曜日 12:00～21:30 祝日 12:00～17:00,日曜日,,,,シャルだん,http://www.risingstar.jp/
aichi,アカデミーオブダンス.ヨコタ,052-532-7366,〒451-0025　愛知県名古屋市西区上名古屋3丁目25-6　　J-odc 2F,https://academy-of-dance-yokota.com/,社交ダンス教室,,,,可,,Let's dance,https://academy-of-dance-yokota.com/
kanagawa,佐藤ダンススクール,045-935-1092,〒226-0011 神奈川県横浜市緑区中山町１１３番地ジョイプラザ・グリーンベル３F,http://home.m07.itscom.net/macohey/SDS/top.htm,社交ダンス教室,午前10時から午後10時,特になし,,,,シャルだん,http://home.m07.itscom.net/macohey/SDS/top.htm
tokyo,タグチソシアルダンススクール,03-6805-2530,東京都世田谷区駒沢2-11-5 NEW LALUE 駒沢ビル3F,https://www.taguchisocialdance.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://www.taguchisocialdance.com/
tokyo,クワバラダンススクール(渋谷教室),03-3477-2340,〒150-0042 東京都渋谷区宇田川町28-3 A2ビル7F,http://kuwabaradance.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://kuwabaradance.com/
kanagawa,TDCE,045-278-4953,〒221-0822 神奈川県横浜市神奈川区西神奈川3-2-14成田ビル2階・3階,http://www.tdce.jp,社交ダンス教室,月～金 12:00～21:00 土 12:00～18:00,日,,,,シャルだん,http://www.tdce.jp
gifu,ウスイダンススクール,058-272-5616,〒500-8875　岐阜県岐阜市柳ケ瀬通3-15柳ヶ瀬ファイブスタービル4F,https://usui-dance.com/,社交ダンス教室,,,,可,,Let's dance,https://usui-dance.com/
fukuoka,サエキダンスアカデミー,092-282-5775,〒812-0026 福岡県福岡市博多区上川端町１１－８川端中央ビル３Ｆ,http://www.saeki-dance.jp,社交ダンス教室,,,,可,,JDSF,http://www.saeki-dance.jp
tokyo,家泉ダンススクール,03-3982-8512,〒171-0021 東京豊島区西池袋３－２６－５ニューマツモトビル７Ｆ,http://www.iezumidance.com,社交ダンス教室,,,,可,,JDSF,http://www.iezumidance.com
aichi,エガワダンススクウェア,052-363-1123,〒454-0911　愛知県名古屋市中川区高畑3-43駐車場有,http://egawadance.hp4u.jp/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://egawadance.hp4u.jp/
aichi,フクイケイジダンスアカデミー,052-936-4070,〒461-0004 名古屋市東区葵2丁目4-１ 三恵ビル2F,https://www.fukuidance.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://www.fukuidance.com/
kanagawa,Kohama Dance Plaza 辻堂教室,0466-37-0303,〒251-0043 神奈川藤沢市辻堂元町１－１１－２０カネマサビル２F,http://www.kohama-dance.com/,社交ダンス教室,,,,可,,JDSF,http://www.kohama-dance.com/
tokyo,田園調布オオシマダンススクール,03-3721-0081,〒158-0085 東京世田谷区玉川田園調布１－９－１田園調布壱番館,http://www.oshimadance.com/,社交ダンス教室,,,,可,,JDSF,http://www.oshimadance.com/
tokyo,ダンススタジオユー,042-360-3595,〒183-0015 東京府中市清水が丘1-1-3　第一勇心ビル303,http://dance-studio-you.sakura.ne.jp/,社交ダンス教室,,,,可,,JDSF,http://dance-studio-you.sakura.ne.jp/
aichi,Ｅ＆Ｅ ダンスアカデミー,052-764-7701,愛知県名古屋市千種区池下1-4-23アミュゾン池下ビル2Ｆ,https://ee-dance-jpn.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://ee-dance-jpn.com/
aichi,ナゴヤダンスアカデミー 熱田教室,052-682-1592,〒456-0031 愛知県名古屋市熱田区神宮2丁目6-13,http://nagoyadance.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://nagoyadance.com/
hokkaido,ソシアルダンススクール 木明,011-209-2228,北海道札幌市中央区南一条西11丁目327-20 アジャイル南1条ビルB1F,https://www.kimei-dance.com/,社交ダンス教室,,,NDLS,可,,NDLS,https://www.kimei-dance.com/
nara,奈良ウェルネス倶楽部,0742-49-0123,〒631-0823 奈良県奈良市西大寺国見町1-7-22奈良ウェルネス倶楽部,http://www.nara-well.net/,社交ダンス教室,月～土曜 9:00～21:00 1・3日曜 9:00～17:00,第2・4・5日曜日,,,,シャルだん,http://www.nara-well.net/
tokyo,岩倉ダンススクール,080-3026-8511,東京都港区赤坂3-8-15 THE AKASAKA 5F,http://www.iwakuradance.com/,社交ダンス教室,,,JBDF,可,,JBDF,http://www.iwakuradance.com/
kanagawa,MakeUpMagic NAJA （有限会社ナージャ）,0463-92-8781,〒259-1132 神奈川県伊勢原市桜台１－１３－１２マルコーマンション２F,http://www.najamakeup.com,WEBショップ/ダンス関連会社,月～金(祝日を除く)10:00～5:00 イベントなどにより変更の場合もあります,土・日・祝,,,,シャルだん,http://www.najamakeup.com
kanagawa,ヨコミチダンスプラザ,042-765-5044,〒252-0303 神奈川県相模原市南区相模大野3-18-10アリスビル４F,http://yokomichi-dance.com/,社交ダンス教室,月曜 ～土曜 12時～22時 日曜休 平日、下記の時間グループレッスンは午前中も開講しております。 月、火、水、金曜日 11時～ 日曜日定休・祝祭日は通常営業しております。,日曜,,,,シャルだん,http://yokomichi-dance.com/
aichi,ナゴヤダンスアカデミー 平針教室,052-804-4500,〒456-0031 愛知県名古屋市天白区中平1-1108,http://nagoyadance.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://nagoyadance.com/
aichi,ドリームダンススタジオ,052-433-4122,〒465-0021 愛知県名古屋市名東区猪子石2-204,http://dds-dream.net/index.html,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://dds-dream.net/index.html
aichi,社交ダンス専門店 ソワール,052-203-0160,〒460-0008　愛知県名古屋市中区栄2-2-1　8F,http://www.dancesoir.co.jp/,ダンス用品店/社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://www.dancesoir.co.jp/
aichi,一彦ダンススタジオ,052-412-0881,〒453-0834　愛知県名古屋市中村区豊国通1丁目16-1木村ビル2F,https://kazuhikodst2.wixsite.com/website-1,社交ダンス教室,,,,可,,Let's dance,https://kazuhikodst2.wixsite.com/website-1
kanagawa,ソシアルダンスルーム “ウィズ”,044-272-7323,〒210-0023 神奈川県川崎市川崎区小川町14-15トウシンビル3-2F,http://www.dance-sdrw.com/,社交ダンス教室,12:00~21:00,日曜日,,,,シャルだん,http://www.dance-sdrw.com/
aichi,バンノダンススタジオ,052-625-7872,〒458-0025 愛知県名古屋市緑区鳥澄3-207-1,https://www.bannodance.jp/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://www.bannodance.jp/
